wing_length,wing_width,body_length,leg_length,target,predicted_target
16.0,7.5,1.5,9.0,3.05,2.9129963
16.5,7.5,1.0,9.0,2.71,2.8507552
8.0,4.0,2.0,9.0,1.97,1.9970814
8.2,4.0,1.8,9.0,2.11,2.0754328
16.0,6.5,1.0,9.0,3.1,2.8815303
16.0,6.0,1.0,9.0,3.04,2.888217
8.4,4.0,1.6,9.0,2.18,2.1725101
15.0,6.0,1.0,9.0,2.86,2.859551
8.8,4.0,1.2,9.0,2.3,2.3500013
12.3,5.3,1.0,9.0,2.63,2.7423227
9.0,4.0,1.0,9.0,2.36,2.4290679
12.3,5.3,1.0,8.0,2.77,2.7442086
9.0,4.0,1.0,8.5,2.53,2.4651177
9.0,4.0,1.0,8.0,2.61,2.4970908
10.0,2.4,1.0,3.5,2.33,2.6394725
9.0,2.4,1.0,3.5,2.9,2.6228876
8.5,2.4,1.0,3.5,2.69,2.612693
10.0,2.4,1.0,5.5,2.47,2.6718385
11.0,2.4,1.0,5.5,2.74,2.6960862
11.0,2.4,1.0,6.5,2.68,2.7065983
5.3,7.5,2.0,3.2,1.58,1.5576208
9.2,5.3,3.5,2.2,2.18,2.1198664
9.2,5.3,2.1,3.5,1.96,2.1246936
9.2,5.3,3.0,2.7,2.08,2.076735
9.2,5.3,2.1,3.0,2.18,2.1534877
9.2,5.3,3.0,2.2,2.03,2.105716
9.2,5.3,2.1,2.5,2.3,2.18398
9.2,5.3,2.1,2.0,2.23,2.2109568
8.2,5.0,2.0,4.7,2.06,1.92726
10.6,5.2,1.5,2.6,2.81,2.694546
13.0,6.2,1.0,7.2,2.83,2.7051775
14.0,7.5,2.0,5.0,2.77,2.7305508
8.2,5.0,2.0,4.0,1.86,1.9493903
10.6,5.2,1.5,2.0,3.0,2.7073472
13.0,6.2,1.0,5.0,2.6,2.698319
14.0,7.5,2.0,4.5,2.64,2.7351434
9.2,5.0,1.0,4.0,2.1,2.2364295
10.6,4.9,1.5,2.0,2.85,2.7625182
13.0,5.2,1.0,5.0,2.29,2.7595513
12.6,5.8,2.0,8.0,2.84,2.885226
12.6,5.8,2.0,7.0,2.91,2.9062185
13.0,6.5,2.0,4.0,2.5,2.840221
12.6,5.8,2.0,6.0,3.07,2.9178827
13.0,6.0,2.0,3.0,2.82,2.9088783
12.0,5.8,2.0,5.8,2.9,2.8246539
12.0,5.8,2.0,5.3,2.84,2.826354
11.0,5.8,2.0,5.3,2.5,2.518108
14.0,5.2,2.0,4.4,3.22,2.9598763
