wing_length,wing_width,body_length,leg_length,target
16.0,7.5,1.5,9.0,3.05
16.5,7.5,1.0,9.0,2.71
8.0,4.0,2.0,9.0,1.97
8.2,4.0,1.8,9.0,2.11
16.0,6.5,1.0,9.0,3.1
16.0,6.0,1.0,9.0,3.04
8.4,4.0,1.6,9.0,2.18
15.0,6.0,1.0,9.0,2.86
8.8,4.0,1.2,9.0,2.3
12.3,5.3,1.0,9.0,2.63
9.0,4.0,1.0,9.0,2.36
12.3,5.3,1.0,8.0,2.77
9.0,4.0,1.0,8.5,2.53
9.0,4.0,1.0,8.0,2.61
10.0,2.4,1.0,3.5,2.33
9.0,2.4,1.0,3.5,2.9
8.5,2.4,1.0,3.5,2.69
10.0,2.4,1.0,5.5,2.47
11.0,2.4,1.0,5.5,2.74
11.0,2.4,1.0,6.5,2.68
5.3,7.5,2.0,3.2,1.58
9.2,5.3,3.5,2.2,2.18
9.2,5.3,2.1,3.5,1.96
9.2,5.3,3.0,2.7,2.08
9.2,5.3,2.1,3.0,2.18
9.2,5.3,3.0,2.2,2.03
9.2,5.3,2.1,2.5,2.3
9.2,5.3,2.1,2.0,2.23
8.2,5.0,2.0,4.7,2.06
10.6,5.2,1.5,2.6,2.81
13.0,6.2,1.0,7.2,2.83
14.0,7.5,2.0,5.0,2.77
8.2,5.0,2.0,4.0,1.86
10.6,5.2,1.5,2.0,3.0
13.0,6.2,1.0,5.0,2.6
14.0,7.5,2.0,4.5,2.64
9.2,5.0,1.0,4.0,2.1
10.6,4.9,1.5,2.0,2.85
13.0,5.2,1.0,5.0,2.29
12.6,5.8,2.0,8.0,2.84
12.6,5.8,2.0,7.0,2.91
13.0,6.5,2.0,4.0,2.5
12.6,5.8,2.0,6.0,3.07
13.0,6.0,2.0,3.0,2.82
12.0,5.8,2.0,5.8,2.9
12.0,5.8,2.0,5.3,2.84
11.0,5.8,2.0,5.3,2.5
14.0,5.2,2.0,4.4,3.22
